Fecha,Hora,Temperatura,Humedad,Lluvia,Luz,Viento
2025-05-20,16:14:13,26.8,60.0,Sin lluvia,Nublado,4
2025-05-20,16:14:18,26.8,59.0,Sin lluvia,Nublado,4
2025-05-20,16:14:23,26.9,59.0,Sin lluvia,Noche,4
2025-05-20,16:14:29,26.9,59.0,Sin lluvia,Nublado,4
2025-05-20,16:14:34,26.9,60.0,Sin lluvia,Nublado,4
2025-05-20,16:14:39,26.9,60.0,Sin lluvia,Nublado,4
2025-05-20,16:14:44,26.9,59.0,Sin lluvia,Nublado,4
2025-05-20,16:14:49,26.8,59.0,Sin lluvia,Nublado,4
2025-05-20,16:14:54,26.9,59.0,Sin lluvia,Nublado,4
2025-05-20,16:14:59,26.8,59.0,Sin lluvia,Nublado,4
2025-05-20,16:15:04,26.8,59.0,Sin lluvia,Nublado,4
2025-05-20,16:15:09,26.8,59.0,Sin lluvia,Nublado,4
2025-05-20,16:15:14,26.8,60.0,Sin lluvia,Nublado,4
2025-05-20,16:15:19,26.9,60.0,Sin lluvia,Nublado,4
2025-05-20,16:15:24,26.9,59.0,Sin lluvia,Nublado,4
2025-05-20,16:15:29,26.8,60.0,Sin lluvia,Nublado,4
2025-05-20,16:15:34,26.9,60.0,Sin lluvia,Nublado,4
2025-05-20,16:15:39,26.8,60.0,Sin lluvia,Nublado,4
2025-05-20,16:15:44,26.9,59.0,Sin lluvia,Nublado,4
2025-05-20,16:15:49,26.9,59.0,Sin lluvia,Nublado,4
2025-05-20,16:15:54,26.8,59.0,Sin lluvia,Nublado,4
2025-05-20,16:15:59,26.8,59.0,Sin lluvia,Nublado,4
2025-05-20,16:16:04,26.8,59.0,Sin lluvia,Nublado,4
2025-05-20,16:16:09,26.8,59.0,Sin lluvia,Nublado,4
2025-05-20,16:16:14,26.8,59.0,Sin lluvia,Nublado,4
2025-05-20,16:16:19,26.8,59.0,Sin lluvia,Nublado,4
2025-05-20,16:16:24,26.8,59.0,Sin lluvia,Nublado,4
2025-05-20,16:16:29,26.8,59.0,Sin lluvia,Nublado,4
2025-05-20,16:16:34,26.8,60.0,Sin lluvia,Nublado,4
2025-05-20,16:16:39,26.8,59.0,Sin lluvia,Nublado,4
2025-05-20,16:16:44,26.8,59.0,Sin lluvia,Nublado,4
2025-05-20,16:16:49,26.8,59.0,Sin lluvia,Nublado,4
2025-05-20,16:16:54,26.8,59.0,Sin lluvia,Nublado,4
2025-05-20,16:16:59,26.8,59.0,Sin lluvia,Nublado,4
2025-05-20,16:17:04,26.8,59.0,Sin lluvia,Nublado,4
2025-05-20,16:17:09,26.8,59.0,Sin lluvia,Nublado,4
2025-05-20,16:17:14,26.8,59.0,Sin lluvia,Nublado,4
2025-05-20,16:17:20,26.8,59.0,Sin lluvia,Nublado,4
2025-05-20,16:17:25,26.6,59.0,Sin lluvia,Nublado,4
2025-05-20,16:17:30,26.6,59.0,Sin lluvia,Nublado,4
2025-05-20,16:17:35,26.6,59.0,Sin lluvia,Nublado,4
2025-05-20,16:17:40,26.6,59.0,Sin lluvia,Nublado,4
2025-05-20,16:17:45,26.6,59.0,Sin lluvia,Nublado,4
2025-05-20,16:17:50,26.6,59.0,Sin lluvia,Nublado,4
2025-05-20,16:17:55,26.6,59.0,Sin lluvia,Nublado,4
2025-05-20,16:18:00,26.6,59.0,Sin lluvia,Nublado,4
2025-05-20,16:18:05,26.6,59.0,Sin lluvia,Nublado,4
2025-05-20,16:18:10,26.6,59.0,Sin lluvia,Nublado,4
2025-05-20,16:18:15,26.6,59.0,Sin lluvia,Nublado,4
2025-05-20,16:18:20,26.6,59.0,Sin lluvia,Nublado,4
2025-05-20,16:18:25,26.6,59.0,Sin lluvia,Nublado,4
2025-05-20,16:18:30,26.6,59.0,Sin lluvia,Nublado,4
2025-05-20,16:18:35,26.6,59.0,Sin lluvia,Nublado,4
2025-05-20,16:18:40,26.6,59.0,Sin lluvia,Nublado,4
2025-05-20,16:18:45,26.6,59.0,Sin lluvia,Nublado,4
2025-05-20,16:18:50,26.6,59.0,Sin lluvia,Nublado,4
2025-05-20,16:18:55,26.6,59.0,Sin lluvia,Nublado,4
2025-05-20,16:19:00,26.6,59.0,Sin lluvia,Nublado,4
2025-05-20,16:19:05,26.6,59.0,Sin lluvia,Nublado,4
2025-05-20,16:19:10,26.6,59.0,Sin lluvia,Nublado,4
2025-05-20,16:19:15,26.6,59.0,Sin lluvia,Nublado,4
2025-05-20,16:19:20,26.6,59.0,Sin lluvia,Nublado,4
2025-05-20,16:19:25,26.6,59.0,Sin lluvia,Nublado,4
2025-05-20,16:19:30,26.6,59.0,Sin lluvia,Nublado,4
2025-05-20,16:19:35,26.6,59.0,Sin lluvia,Nublado,4
2025-05-20,16:19:40,26.6,59.0,Sin lluvia,Nublado,4
2025-05-20,16:19:45,26.6,59.0,Sin lluvia,Nublado,4
2025-05-20,16:19:50,26.5,59.0,Sin lluvia,Nublado,4
2025-05-20,16:19:55,26.6,59.0,Sin lluvia,Nublado,4
2025-05-20,16:20:00,26.6,59.0,Sin lluvia,Nublado,4
2025-05-20,16:20:05,26.5,59.0,Sin lluvia,Nublado,4
2025-05-20,16:20:11,26.6,59.0,Sin lluvia,Nublado,4
2025-05-20,16:20:16,26.6,59.0,Sin lluvia,Nublado,4
2025-05-20,16:20:21,26.5,59.0,Sin lluvia,Nublado,4
2025-05-20,16:20:26,26.5,60.0,Sin lluvia,Nublado,4
2025-05-20,16:20:31,26.5,60.0,Sin lluvia,Nublado,4
2025-05-20,16:20:36,26.5,60.0,Sin lluvia,Nublado,4
2025-05-20,16:20:41,26.5,60.0,Sin lluvia,Nublado,4
2025-05-20,16:20:46,26.5,60.0,Sin lluvia,Nublado,4
2025-05-20,16:20:51,26.5,60.0,Sin lluvia,Nublado,4
2025-05-20,16:20:56,26.5,60.0,Sin lluvia,Nublado,4
2025-05-20,16:21:01,26.5,60.0,Sin lluvia,Nublado,4
2025-05-20,16:21:06,26.5,60.0,Sin lluvia,Nublado,4
2025-05-20,16:21:11,26.5,60.0,Sin lluvia,Noche,4
2025-05-20,16:21:16,26.5,60.0,Sin lluvia,Nublado,4
2025-05-20,16:21:21,26.5,60.0,Sin lluvia,Nublado,4
2025-05-20,16:21:26,26.5,60.0,Sin lluvia,Nublado,4
2025-05-20,16:21:31,26.5,60.0,Sin lluvia,Nublado,4
2025-05-20,16:21:36,26.5,60.0,Sin lluvia,Nublado,4
2025-05-20,16:21:41,26.6,60.0,Sin lluvia,Nublado,4
2025-05-20,16:21:46,26.6,60.0,Sin lluvia,Nublado,4
2025-05-20,16:21:51,26.6,60.0,Sin lluvia,Nublado,4
2025-05-20,16:21:56,26.6,60.0,Sin lluvia,Nublado,4
2025-05-20,16:22:01,26.6,60.0,Sin lluvia,Nublado,4
2025-05-20,16:22:06,26.6,60.0,Sin lluvia,Nublado,4
2025-05-20,16:22:11,26.6,60.0,Sin lluvia,Nublado,4
2025-05-20,16:22:16,26.6,60.0,Sin lluvia,Nublado,4
2025-05-20,16:22:21,26.7,59.0,Sin lluvia,Nublado,4
2025-05-20,16:22:26,26.7,59.0,Sin lluvia,Nublado,4
2025-05-20,16:22:31,26.7,59.0,Sin lluvia,Nublado,4
2025-05-20,16:22:36,26.7,59.0,Sin lluvia,Nublado,4
2025-05-20,16:22:41,26.7,59.0,Sin lluvia,Nublado,4
2025-05-20,16:22:46,26.7,59.0,Sin lluvia,Nublado,4
2025-05-20,16:22:51,26.7,59.0,Sin lluvia,Nublado,4
